 Date, Agent_ID, Process_Type, Accounts_Worked, AHT_Minutes, Quality_Score_Pct, Total_Logged_Hours
01-03-2026,EMP001,Denial Management,56,4,0.97,6.8
02-03-2026,EMP001,Payment Posting,83,4,0.98,7.3
06-03-2026,EMP001,Payment Posting,83,4,0.98,6.8
06-03-2026,EMP001,Denial Management,35,4,0.97,7.5
09-03-2026,EMP001,Denial Management,45,4,0.97,7.4
11-03-2026,EMP001,Payment Posting,115,4,0.98,8
12-03-2026,EMP001,Payment Posting,119,4,0.98,7.7
12-03-2026,EMP001,Charge Entry,143,4,0.98,6.5
13-03-2026,EMP001,Payment Posting,116,4,0.98,7.5
15-03-2026,EMP001,Payment Posting,65,4,0.98,7.1
15-03-2026,EMP001,Denial Management,54,4,0.97,7.4
16-03-2026,EMP001,Charge Entry,137,4,0.98,7.3
17-03-2026,EMP001,Charge Entry,86,4,0.98,7.8
17-03-2026,EMP001,Denial Management,42,4,0.97,6.7
18-03-2026,EMP001,Payment Posting,89,4,0.98,7.7
18-03-2026,EMP001,Charge Entry,80,4,0.98,7.3
18-03-2026,EMP001,Payment Posting,97,4,0.98,7.3
19-03-2026,EMP001,Charge Entry,93,4,0.98,7.4
19-03-2026,EMP001,Denial Management,46,4,0.97,8
20-03-2026,EMP001,Charge Entry,105,4,0.98,6.7
21-03-2026,EMP001,Denial Management,30,4,0.97,8
22-03-2026,EMP001,Payment Posting,76,4,0.98,7.4
22-03-2026,EMP001,Denial Management,52,4,0.97,7
23-03-2026,EMP001,Charge Entry,113,4,0.98,6.5
29-03-2026,EMP001,Charge Entry,146,4,0.98,6.8
03-03-2026,EMP002,Denial Management,54,4,0.97,7.3
04-03-2026,EMP002,Denial Management,57,4,0.97,6.7
04-03-2026,EMP002,Payment Posting,64,4,0.98,7.5
05-03-2026,EMP002,Denial Management,50,4,0.97,7.3
05-03-2026,EMP002,Denial Management,31,4,0.97,7
07-03-2026,EMP002,Charge Entry,87,4,0.98,7.2
07-03-2026,EMP002,Charge Entry,100,4,0.98,7.3
07-03-2026,EMP002,Payment Posting,108,4,0.98,7.8
07-03-2026,EMP002,Denial Management,46,4,0.97,7.4
08-03-2026,EMP002,Charge Entry,86,4,0.98,7.7
09-03-2026,EMP002,Charge Entry,112,4,0.98,6.7
09-03-2026,EMP002,Payment Posting,72,4,0.98,7.4
11-03-2026,EMP002,Payment Posting,82,4,0.98,6.9
11-03-2026,EMP002,Payment Posting,61,4,0.98,7.8
12-03-2026,EMP002,Denial Management,40,4,0.97,7.6
13-03-2026,EMP002,Payment Posting,100,4,0.98,7.4
15-03-2026,EMP002,Denial Management,49,4,0.97,7.4
15-03-2026,EMP002,Denial Management,43,4,0.97,7.3
15-03-2026,EMP002,Denial Management,53,4,0.97,6.9
