 Date, Process_Type, Beginning_AR_Count, New_Accounts_Received, Accounts_Resolved, Ending_AR_Count, Target_SLA_Days, Actual_TAT_Days
13-03-2026,Payment Posting,1775,793,1044,1524,1,1
24-03-2026,Denial Management,1352,733,975,1110,14,12
18-03-2026,Payment Posting,1288,406,909,785,1,3
08-03-2026,Charge Entry,1896,595,900,1591,2,2
22-03-2026,Denial Management,775,709,954,530,14,14
06-03-2026,Denial Management,678,722,961,439,14,17
04-03-2026,Charge Entry,751,353,512,592,2,4
10-03-2026,Payment Posting,1228,979,1060,1147,1,2
18-03-2026,Denial Management,1395,523,519,1399,14,16
01-03-2026,Payment Posting,2178,962,735,2405,1,1
27-03-2026,Denial Management,1809,401,369,1841,14,17
20-03-2026,Payment Posting,1747,639,1033,1353,1,3
03-03-2026,Charge Entry,1230,586,439,1377,2,2
15-03-2026,Denial Management,2435,975,631,2779,14,13
10-03-2026,Payment Posting,2372,546,501,2417,1,1
08-03-2026,Denial Management,1480,636,1159,957,14,11
15-03-2026,Payment Posting,1310,640,433,1517,1,2
20-03-2026,Denial Management,1193,959,1066,1086,14,13
28-03-2026,Charge Entry,2201,663,827,2037,2,4
18-03-2026,Charge Entry,2271,770,659,2382,2,2
23-03-2026,Payment Posting,508,894,869,533,1,3
16-03-2026,Payment Posting,1960,811,369,2402,1,3
09-03-2026,Payment Posting,1762,847,1100,1509,1,2
10-03-2026,Payment Posting,1920,977,704,2193,1,1
23-03-2026,Charge Entry,2457,717,587,2587,2,4
30-03-2026,Denial Management,1163,774,715,1222,14,16
02-03-2026,Payment Posting,2354,618,738,2234,1,3
13-03-2026,Charge Entry,2011,713,652,2072,2,2
03-03-2026,Charge Entry,738,357,505,590,2,2
13-03-2026,Payment Posting,1055,597,585,1067,1,2
17-03-2026,Payment Posting,844,681,1018,507,1,1
25-03-2026,Payment Posting,2014,557,394,2177,1,3
30-03-2026,Charge Entry,780,340,461,659,2,2
06-03-2026,Denial Management,2141,431,1026,1546,14,18
